ProductionID,Location,Production_KWh,Month,Year,LocationID
P637,Lake Mary,52345,May,2018,L0357
P638,New Carolinemouth,82355,March,2019,L0455
P639,Richardberg,47093,April,2024,L0699
P640,South Ryan,26945,May,2025,L0802
P641,Troyside,17657,July,2016,L0859
P642,South Anthonyburgh,68628,January,2016,L0756
P643,Lake Elizabethshire,34255,June,2010,L0337
P644,Adamschester,31879,May,2022,L0003
P645,Lake Martha,94438,July,2024,L0356
P646,Karaview,50372,October,2011,L0301
P647,Teresatown,31758,December,2013,L0839
P648,Simpsonton,13314,December,2011,L0743
P649,Anthonystad,30035,November,2023,L0024
P650,Ramirezland,77643,December,2018,L0695
P651,West Bethport,91364,February,2025,L0888
P652,North Cheryl,6747,June,2010,L0528
P653,East Hollyland,95064,January,2012,L0139
P654,Riggsside,90381,March,2012,L0702
P655,West Dawnview,91458,June,2021,L0900
P656,Lake Jessicamouth,12434,April,2023,L0345
P657,Port Charles,9740,July,2024,L0620
P658,Port Josephside,59993,May,2016,L0644
P659,Port Jamesburgh,10743,October,2015,L0636
P660,Laurenview,28535,October,2025,L0390
P661,West Williamburgh,23933,August,2019,L0954
P662,East Ericfort,8284,May,2012,L0136
P663,Port Stephenhaven,59702,December,2022,L0681
P664,Petersmouth,96819,July,2023,L0596
P665,Heatherstad,66705,March,2018,L0236
P666,Houstonland,1132,August,2016,L0248
P667,Annberg,58938,February,2015,L0020
P668,South Frank,54769,August,2011,L0772
P669,East Beth,89474,April,2023,L0128
P670,North Joannberg,34085,December,2015,L0547
P671,South Michaelchester,38140,June,2014,L0793
P672,Dawnchester,30641,March,2013,L0101
P673,Riveraburgh,40253,February,2020,L0703
P674,North Katherine,12353,November,2015,L0554
P675,Phillipsside,87887,April,2017,L0603
P676,Davidhaven,44023,May,2014,L0098
P677,Phillipsville,59557,September,2019,L0604
P678,West Stevenchester,84216,December,2014,L0949
P679,Carlostown,98883,August,2022,L0060
P680,Stephenburgh,57503,August,2014,L0821
P681,Clarkfort,15072,June,2021,L0075
P682,New Marilyn,99529,July,2022,L0482
P683,North Ashleyfort,81655,December,2014,L0519
P684,East Meganchester,48007,February,2025,L0162
P685,Mooreland,48399,December,2019,L0431
P686,South Stephen,60994,July,2010,L0807
P687,Katherinefort,29989,November,2016,L0306
P688,North Ricardo,3270,December,2016,L0570
P689,West Arthurchester,44116,August,2010,L0887
P690,Port Patriciaborough,52166,October,2021,L0670
P691,North Ashleyport,75998,March,2024,L0521
P692,Port Jessicaport,92699,January,2022,L0641
P693,New Derrick,34633,June,2014,L0463
P694,South Clinton,78320,March,2018,L0763
P695,Amyburgh,6632,January,2020,L0013
P696,Lake Tyler,67664,January,2014,L0384
P697,Anthonyport,52157,June,2013,L0023
P698,East Marissafort,97640,January,2023,L0159
P699,Lake Elizabethtown,80680,July,2024,L0338
P700,Mortonstad,84788,September,2015,L0435
P701,Stanleyberg,57172,September,2015,L0819
P702,Weaverborough,23061,October,2024,L0880
P703,Perezhaven,9775,September,2024,L0595
P704,New Amanda,57260,September,2020,L0446
P705,Vanessamouth,48096,December,2022,L0863
P706,East Sherri,73306,June,2021,L0174
P707,West Kristinaport,23407,February,2013,L0923
P708,Kelseyfort,18497,April,2012,L0312
P709,West Carolyn,78356,April,2011,L0891
P710,Morrisshire,97312,October,2015,L0433
P711,New Nicholas,54629,July,2019,L0491
P712,North Judytown,50727,October,2019,L0552
P713,New Johntown,49070,December,2016,L0472
P714,Thomasbury,38280,September,2020,L0842
P715,Tamarahaven,16996,June,2012,L0831
P716,West Janicefurt,75468,April,2018,L0909
P717,Melindaborough,2295,October,2015,L0421
P718,Danielport,3497,May,2022,L0093
P719,Lake Crystal,92522,March,2021,L0331
P720,West Margaretbury,57113,August,2010,L0925
P721,West Pamelafurt,47648,May,2013,L0935
P722,Lake Stephanieland,67498,May,2011,L0377
P723,Marksstad,22916,January,2022,L0403
P724,North Jacob,70670,September,2016,L0539
P725,Guerraside,40771,October,2013,L0224
P726,Thomasshire,96155,May,2011,L0844
P727,South Joe,80137,December,2016,L0779
P728,Lake Bradley,65220,September,2025,L0324
P729,East Maria,12049,November,2012,L0158
P730,South John,68316,September,2020,L0782
P731,Maureenborough,30609,December,2022,L0415
P732,Lucasstad,53212,June,2015,L0398
P733,Martinezfort,77191,April,2021,L0407
P734,East Nataliehaven,46489,September,2012,L0168
P735,Jonesstad,61120,August,2014,L0290
P736,Barbaramouth,25359,January,2022,L0030
P737,South Mark,92930,December,2022,L0791
P738,South Tiffanyfort,80417,October,2022,L0812
P739,Port Michaeltown,22838,February,2017,L0663
P740,North Lisaview,88504,August,2018,L0560
P741,New Katherinefort,52308,June,2012,L0474
P742,West Michael,15430,August,2023,L0931
P743,Dillonside,40770,December,2021,L0108
P744,Lake Samanthafurt,82758,January,2018,L0373
P745,Lake Roger,87631,January,2014,L0372
P746,Valeriebury,35707,September,2015,L0861
P747,East Meredithfort,48562,March,2014,L0164
P748,New Christina,49564,December,2020,L0460
P749,Lake Bryan,97981,September,2010,L0326
P750,Claymouth,52389,August,2018,L0076
P751,North Erikatown,24122,November,2010,L0535
P752,East Amanda,68852,October,2011,L0123
P753,North Heatherport,41741,December,2024,L0538
P754,Crystalbury,80772,February,2024,L0088
P755,South Jodi,33668,September,2010,L0778
P756,Villegaschester,29367,June,2023,L0870
P757,New Hector,32913,February,2010,L0468
P758,South Christinahaven,49066,September,2015,L0762
P759,Fergusonland,2876,October,2018,L0198
P760,West Sierra,58618,April,2021,L0947
P761,Port Joshuaton,19282,March,2010,L0646
P762,Lake Lawrenceshire,13318,December,2013,L0353
P763,South Cynthia,17497,November,2015,L0764
P764,Gilbertland,90280,March,2020,L0212
P765,Stevenborough,33747,July,2018,L0823
P766,Ashleyview,82156,September,2016,L0027
P767,Danielville,56479,May,2012,L0094
P768,Hollyside,6287,July,2013,L0245
P769,Matthewmouth,43767,February,2012,L0413
P770,Parkerside,85087,October,2016,L0588
P771,Ibarraside,76909,June,2019,L0254
P772,North Emily,79085,December,2022,L0532
P773,Williamberg,66612,November,2012,L0959
P774,Joshuaville,82684,March,2017,L0295
P775,Torresmouth,84062,July,2012,L0853
P776,West Maureen,80694,September,2023,L0927
P777,Ericmouth,32120,February,2012,L0189
P778,Russellport,29387,April,2019,L0720
P779,Marciaton,87379,October,2022,L0399
P780,Smithborough,48912,November,2023,L0745
P781,Davishaven,57722,January,2018,L0100
P782,Gutierrezport,13946,February,2012,L0225
P783,Brownburgh,86612,March,2021,L0051
P784,Pattonstad,45594,August,2021,L0590
P785,South Caitlinland,79532,November,2014,L0760
P786,Michaelburgh,45994,March,2023,L0423
P787,New Carolynland,40920,July,2025,L0456
P788,East Annside,38322,November,2021,L0127
P789,West Jeffrey,15034,August,2022,L0911
P790,Scottmouth,76817,May,2018,L0735
P791,Jenniferchester,90415,December,2021,L0272
P792,East Kathyport,24982,June,2012,L0150
P793,New William,58984,February,2020,L0507
P794,South Tarachester,87936,October,2013,L0809
P795,Taylorhaven,29735,September,2011,L0837
P796,Walkerfurt,51679,April,2024,L0871
P797,Troychester,9264,November,2016,L0858
P798,Cynthiaton,55102,November,2013,L0090
P799,Lake Brenda,74484,March,2025,L0325
P800,Josephburgh,10606,May,2019,L0292
P801,Lake Cherylville,50916,April,2020,L0328
P802,Rogersmouth,61368,June,2016,L0717
P803,Freyshire,72307,August,2015,L0204
P804,Kimberlyborough,74104,July,2015,L0314
P805,North Andrebury,69695,May,2012,L0516
P806,South Victoriaton,67343,April,2020,L0817
P807,North Sarahview,27516,June,2022,L0574
P808,Walshchester,34990,September,2025,L0873
P809,Port Tinatown,62517,January,2017,L0686
P810,Brewerport,78198,September,2019,L0044
P811,Port Jamesfort,77817,February,2016,L0637
P812,Woodardview,11630,August,2023,L0965
P813,East Anna,39201,December,2017,L0126
P814,New Joyburgh,66540,April,2015,L0473
P815,Nguyenfort,11510,February,2015,L0508
P816,South Joshuachester,79924,December,2013,L0787
P817,Jonathanborough,93925,February,2017,L0288
P818,Katherinemouth,18019,August,2025,L0307
P819,West Timhaven,85158,November,2018,L0950
P820,Gilmoreberg,9198,September,2021,L0213
P821,Anthonyfurt,67183,August,2019,L0021
P822,North Gregoryport,67655,September,2023,L0537
P823,North Rebecca,73942,August,2020,L0569
P824,Lake Kathleen,14351,September,2011,L0349
P825,Lanetown,48308,April,2025,L0386
P826,North Stephanieberg,45747,September,2011,L0575
P827,North Cathy,25671,March,2018,L0527
P828,Clarkemouth,69589,January,2014,L0074
P829,Wrightfurt,35695,February,2025,L0967
P830,East Tracy,11936,May,2018,L0181
P831,Port Patrick,43908,November,2016,L0671
P832,Port Christopherborough,71571,December,2018,L0621
P833,Pearsonton,97151,November,2018,L0594
P834,South Anafort,49854,March,2017,L0754
P835,Carrborough,30092,May,2020,L0062
P836,West Peggyville,76366,June,2024,L0936
P837,West Judy,10814,October,2023,L0916
P838,Chasemouth,58591,August,2011,L0068
P839,South Paul,44176,October,2015,L0799
P840,Judyhaven,33982,March,2014,L0299
P841,East Juliemouth,84328,May,2012,L0149
P842,Christianfurt,64790,December,2014,L0070
P843,Valerieborough,31944,August,2023,L0860
P844,Rochabury,13433,December,2016,L0713
P845,Hudsonton,95172,September,2017,L0250
P846,Lake Sean,81528,January,2021,L0374
P847,Lake Diana,72554,January,2015,L0335
P848,Sydneyport,50911,March,2016,L0830
P849,West Robertport,21108,October,2011,L0937
P850,New Monicatown,25613,September,2011,L0489
P851,Dunlapstad,78982,February,2014,L0117
P852,Morsefurt,77676,July,2021,L0434
P853,Davenportmouth,63219,February,2016,L0097
P854,Skinnerfort,84047,December,2019,L0744
P855,East Amandahaven,62501,September,2012,L0124
P856,Audreyside,71647,May,2024,L0028
P857,East Alexander,81310,April,2021,L0120
P858,Jenningsmouth,51974,May,2012,L0275
P859,Barryhaven,86507,April,2012,L0031
P860,East Robert,50231,October,2010,L0171
P861,Ibarrashire,75855,April,2016,L0253
P862,North Austin,79390,June,2019,L0522
P863,North Samuelmouth,36277,May,2013,L0573
P864,West Valerieberg,66427,November,2014,L0952
P865,North Kimberly,10581,October,2023,L0559
P866,South Joseph,78709,July,2021,L0786
P867,North Gary,60158,January,2012,L0536
P868,Wayneside,66979,April,2020,L0879
P869,North Wendy,39294,September,2022,L0582
P870,Tiffanyfurt,45719,May,2013,L0847
P871,Hannahmouth,61886,February,2015,L0230
P872,Bradyside,31766,April,2016,L0037
P873,Port Katherinemouth,83575,July,2012,L0650
P874,Lake Mariafurt,42882,October,2014,L0355
P875,Port Davidmouth,20472,January,2011,L0627
P876,Amandashire,4710,May,2014,L0009
P877,New Frances,54134,September,2013,L0467
P878,North Pamelaview,67893,May,2019,L0568
P879,New Tylerbury,47032,June,2022,L0505
P880,East Claire,48292,September,2015,L0132
P881,New Jesse,87240,December,2020,L0470
P882,Johnmouth,46264,April,2017,L0279
P883,West Cesarchester,24817,August,2018,L0892
P884,Marcusshire,2132,December,2012,L0400
P885,East Samantha,89370,January,2010,L0172
P886,New John,39658,July,2020,L0471
P887,Ricardobury,19746,June,2016,L0698
P888,Justinside,50730,January,2015,L0300
P889,Lake Jeremiahburgh,21327,July,2020,L0343
P890,Danielport,8874,June,2013,L0093
P891,Port Michael,5546,November,2015,L0662
P892,East Migueltown,79106,August,2016,L0166
P893,Brownbury,74529,February,2019,L0052
P894,North Robert,74774,April,2023,L0571
P895,Mooreview,39365,November,2021,L0432
P896,North Toddland,63936,October,2021,L0580
P897,Zacharyfurt,50816,June,2019,L0972
P898,Stanleyberg,32970,June,2023,L0819
P899,Schultztown,91855,April,2018,L0733
P900,Port Amystad,74734,July,2013,L0610
P901,Port Carlosburgh,26214,July,2012,L0618
P902,South Donaldstad,50994,April,2014,L0768
P903,Lake Steve,65092,February,2022,L0378
P904,North Alicia,44795,October,2020,L0512
P905,Whitemouth,36249,March,2019,L0955
P906,Port Kurtburgh,81778,April,2017,L0655
P907,South Joshuafurt,5684,July,2020,L0788
P908,Whitetown,4916,September,2022,L0957
P909,Roberthaven,17819,December,2025,L0707
P910,Fowlerview,89267,February,2017,L0201
P911,Kimberlybury,72003,March,2012,L0315
P912,Christopherchester,26202,May,2011,L0071
P913,Thomasland,6512,March,2019,L0843
P914,Rodriguezport,48758,March,2011,L0715
P915,West Andrew,53100,March,2011,L0885
P916,Edwardshaven,8269,November,2020,L0183
P917,Gordonside,82473,March,2021,L0219
P918,Ellisview,99595,December,2019,L0187
P919,East Katrinaport,92196,January,2010,L0151
P920,South Jose,48875,August,2020,L0785
P921,South Bobville,67857,November,2011,L0757
P922,Lisatown,97422,August,2017,L0395
P923,Shieldsfurt,98218,August,2012,L0742
P924,Lake Stacy,55473,January,2020,L0376
P925,West Dale,90304,June,2018,L0897
P926,Marissafort,46636,February,2014,L0402
P927,South Anthony,47376,June,2018,L0755
P928,Port Courtneyfort,89421,November,2016,L0625
P929,North Emma,19145,December,2010,L0533
P930,New Thomas,95193,January,2011,L0502
P931,Amberbury,86909,May,2013,L0010
P932,Adamsfort,62723,November,2024,L0004
P933,East Alison,55542,April,2011,L0122
P934,Frankview,68417,October,2020,L0203
P935,New Megan,65140,June,2020,L0486
P936,Jodifort,86594,June,2015,L0277
P937,Lake Cheryltown,9448,December,2014,L0327
P938,North Josephfort,74717,July,2020,L0551
P939,Lake Tiffanyton,36326,March,2024,L0383
P940,Nathanville,78193,July,2011,L0442
P941,Harrischester,12777,January,2011,L0233
P942,Jamesville,80856,March,2010,L0263
P943,Lake Jenna,87931,December,2024,L0340
P944,Lake Patriciamouth,30841,October,2011,L0364
P945,Murphytown,11580,September,2025,L0440
P946,Carolmouth,49742,March,2011,L0061
P947,West Adamville,38436,September,2015,L0882
P948,Erikaview,50465,March,2015,L0191
P949,East Taramouth,7033,June,2014,L0178
P950,Damonmouth,33366,May,2023,L0091
P951,Port Timothy,50206,March,2025,L0684
P952,West Jefferyburgh,48571,October,2012,L0910
P953,Port Gregorymouth,83195,April,2025,L0633
P954,New Christopher,64482,August,2013,L0461
P955,Lake Andrewville,13928,March,2023,L0321
P956,Foxchester,38725,April,2025,L0202
P957,Ashleymouth,7278,October,2015,L0026
P958,North Jameshaven,74918,June,2021,L0543
P959,Rodriguezton,61247,November,2017,L0716
P960,Donnafurt,79727,December,2024,L0114
P961,Port Gregoryborough,36351,March,2014,L0632
P962,Kaylaborough,82651,April,2024,L0308
P963,Robinsonside,68155,January,2016,L0711
P964,West Daniel,92295,April,2024,L0898
P965,West Sheryl,38416,May,2021,L0946
P966,Edwardton,55222,October,2018,L0184
P967,Karenstad,77111,September,2010,L0304
P968,New Kristashire,45211,August,2023,L0475
P969,West Jeffrey,73427,July,2023,L0911
P970,Jameston,44147,January,2010,L0261
P971,North Melissa,88146,September,2012,L0563
P972,Port Patrick,48333,August,2020,L0671
P973,Drakebury,21280,June,2015,L0115
P974,Victoriaborough,98725,July,2023,L0867
P975,Port Jenniferbury,74787,April,2011,L0640
P976,Chaseborough,54714,February,2020,L0067
P977,Valeriestad,63388,December,2019,L0862
P978,East Keith,20526,July,2012,L0153
P979,South Natasha,82713,February,2014,L0798
P980,Lake Jennifer,38753,October,2020,L0341
P981,Lake Kathryn,91047,March,2014,L0350
P982,Wesleyburgh,98955,January,2020,L0881
P983,Gardnertown,24198,January,2021,L0207
P984,Sheilashire,47954,November,2021,L0738
P985,Lake Pennyton,77965,January,2025,L0367
P986,Nicholsmouth,10664,November,2024,L0509
P987,Dominiqueshire,20563,December,2017,L0111
P988,Duarteshire,73303,September,2023,L0116
P989,North Jonathanview,97744,November,2023,L0549
P990,Stephaniemouth,5280,April,2012,L0820
P991,Jamesbury,3296,August,2022,L0256
P992,New Taylortown,46480,July,2010,L0501
P993,Butlerchester,66964,December,2025,L0057
P994,Sandersville,79397,March,2020,L0726
P995,Ryanhaven,38523,June,2012,L0722
P996,Haynesview,41104,June,2019,L0234
P997,Port David,72922,May,2023,L0626
P998,Higginshaven,36358,September,2017,L0242
P999,New Cynthia,64900,May,2024,L0462
P1000,Diazstad,14274,April,2010,L0107
